       t(ticks) ;         id_viat ;          destin ;      t_estacion ;          t_vida ;          observ
     1719589190 ;               ? ;               ? ;               ? ;               ? ;        abertura
              0 ;               1 ;               O ;              20 ;               0 ;       encerrado
             10 ;               2 ;               S ;              70 ;               0 ;       encerrado
             10 ;               3 ;               E ;              60 ;               0 ;       encerrado
             10 ;               4 ;               O ;              30 ;               0 ;       encerrado
             10 ;               5 ;               E ;              30 ;               0 ;       encerrado
             10 ;               6 ;               O ;              10 ;               0 ;       encerrado
             10 ;               7 ;               N ;              20 ;               0 ;       encerrado
             20 ;               8 ;               E ;              70 ;               0 ;       encerrado
             30 ;               9 ;               E ;              80 ;               0 ;       encerrado
             30 ;              10 ;               N ;              60 ;               0 ;       encerrado
             40 ;              11 ;               N ;              10 ;               0 ;       encerrado
             40 ;              12 ;               O ;              70 ;               0 ;       encerrado
             40 ;              13 ;               S ;             100 ;               0 ;       encerrado
             50 ;              15 ;               N ;             100 ;               0 ;       encerrado
             50 ;              14 ;               S ;              60 ;               0 ;       encerrado
             70 ;              16 ;               N ;              90 ;               0 ;       encerrado
             90 ;              17 ;               E ;              50 ;               0 ;       encerrado
            110 ;              18 ;               S ;              70 ;               0 ;       encerrado
            120 ;              19 ;               E ;             100 ;               0 ;       encerrado
            120 ;              20 ;               E ;              10 ;               0 ;       encerrado
            130 ;              22 ;               N ;             100 ;               0 ;       encerrado
            130 ;              21 ;               E ;              50 ;               0 ;       encerrado
            150 ;              23 ;               E ;              30 ;               0 ;       encerrado
            160 ;              24 ;               E ;              40 ;               0 ;       encerrado
            160 ;              25 ;               S ;              50 ;               0 ;       encerrado
            160 ;              26 ;               N ;              10 ;               0 ;       encerrado
            180 ;              29 ;               S ;              60 ;               0 ;         entrada
            180 ;              27 ;               O ;              90 ;               0 ;         entrada
            180 ;              28 ;               N ;              50 ;               0 ;         entrada
            180 ;              30 ;               O ;              50 ;               0 ;         entrada
            200 ;              31 ;               S ;              30 ;               0 ;         entrada
            210 ;              32 ;               O ;              60 ;               0 ;         entrada
            210 ;              33 ;               O ;              90 ;               0 ;         entrada
            210 ;              34 ;               N ;              90 ;               0 ;         entrada
            230 ;              28 ;               N ;              50 ;              50 ;           saida
            230 ;              30 ;               O ;              50 ;              50 ;           saida
            230 ;              31 ;               S ;              30 ;              30 ;           saida
            230 ;              35 ;               E ;              50 ;               0 ;         entrada
            240 ;              29 ;               S ;              60 ;              60 ;           saida
            250 ;              36 ;               O ;              90 ;               0 ;         entrada
            270 ;              27 ;               O ;              90 ;              90 ;           saida
            270 ;              32 ;               O ;              60 ;              60 ;           saida
            270 ;              37 ;               S ;              90 ;               0 ;         entrada
            270 ;              38 ;               O ;              80 ;               0 ;         entrada
            280 ;              35 ;               E ;              50 ;              50 ;           saida
            280 ;              39 ;               N ;              20 ;               0 ;         entrada
            290 ;              40 ;               N ;              30 ;               0 ;         entrada
            290 ;              41 ;               E ;              10 ;               0 ;         entrada
            290 ;              42 ;               S ;              20 ;               0 ;         entrada
            300 ;              33 ;               O ;              90 ;              90 ;           saida
            300 ;              34 ;               N ;              90 ;              90 ;           saida
            300 ;              39 ;               N ;              20 ;              20 ;           saida
            300 ;              41 ;               E ;              10 ;              10 ;           saida
            310 ;              43 ;               S ;              50 ;               0 ;         entrada
            310 ;              44 ;               S ;              90 ;               0 ;         entrada
            310 ;              42 ;               S ;              20 ;              20 ;           saida
            320 ;              40 ;               N ;              30 ;              30 ;           saida
            320 ;              45 ;               O ;              20 ;               0 ;         entrada
            320 ;              47 ;               O ;              10 ;               0 ;         entrada
            320 ;              46 ;               N ;             100 ;               0 ;         entrada
            320 ;              48 ;               E ;              10 ;               0 ;         entrada
            331 ;              48 ;               E ;              10 ;              11 ;           saida
            331 ;              47 ;               O ;              10 ;              11 ;           saida
            331 ;              49 ;               O ;              40 ;               1 ;         entrada
            331 ;              50 ;               O ;              80 ;               1 ;         entrada
            331 ;              51 ;               E ;              60 ;               0 ;         entrada
            331 ;              52 ;               E ;              90 ;               0 ;         entrada
            340 ;              36 ;               O ;              90 ;              90 ;           saida
            340 ;              45 ;               O ;              20 ;              20 ;           saida
            341 ;              53 ;               E ;              40 ;               0 ;         entrada
            350 ;              38 ;               O ;              80 ;              80 ;           saida
            351 ;              54 ;               N ;              80 ;               0 ;         entrada
            360 ;              37 ;               S ;              90 ;              90 ;           saida
            360 ;              43 ;               S ;              50 ;              50 ;           saida
            361 ;              55 ;               O ;              10 ;               0 ;         entrada
            361 ;              56 ;               S ;              50 ;               0 ;         entrada
            361 ;              58 ;               O ;             100 ;               0 ;         entrada
            361 ;              57 ;               E ;              60 ;               0 ;         entrada
            371 ;              49 ;               O ;              40 ;              41 ;           saida
            371 ;              55 ;               O ;              10 ;              10 ;           saida
            371 ;              59 ;               O ;              90 ;               0 ;         entrada
            371 ;              60 ;               O ;             100 ;               0 ;         entrada
            371 ;              61 ;               N ;              20 ;               0 ;         entrada
            371 ;              62 ;               E ;              30 ;               0 ;         entrada
