       t(ticks) ;            nlug ;         id_viat ;          destin ;               observ
     1719589351 ;               ? ;               ? ;               ? ;             abertura
             19 ;               1 ;              27 ;               O ;       estacionamento
             19 ;               2 ;              28 ;               N ;       estacionamento
             19 ;               3 ;              29 ;               S ;       estacionamento
             19 ;               4 ;              30 ;               O ;       estacionamento
             39 ;               5 ;              31 ;               S ;       estacionamento
             49 ;               6 ;              32 ;               O ;       estacionamento
             49 ;               7 ;              33 ;               O ;       estacionamento
             49 ;               8 ;              34 ;               N ;       estacionamento
             69 ;               7 ;              28 ;               N ;                saida
             69 ;               6 ;              30 ;               O ;                saida
             69 ;               5 ;              31 ;               S ;                saida
             69 ;               6 ;              35 ;               E ;       estacionamento
             79 ;               5 ;              29 ;               S ;                saida
             89 ;               6 ;              36 ;               O ;       estacionamento
            109 ;               5 ;              27 ;               O ;                saida
            109 ;               4 ;              32 ;               O ;                saida
            109 ;               5 ;              37 ;               S ;       estacionamento
            109 ;               6 ;              38 ;               O ;       estacionamento
            119 ;               5 ;              35 ;               E ;                saida
            119 ;               6 ;              39 ;               N ;       estacionamento
            129 ;               7 ;              40 ;               N ;       estacionamento
            129 ;               8 ;              41 ;               E ;       estacionamento
            129 ;               9 ;              42 ;               S ;       estacionamento
            139 ;               8 ;              33 ;               O ;                saida
            139 ;               7 ;              34 ;               N ;                saida
            139 ;               6 ;              39 ;               N ;                saida
            139 ;               5 ;              41 ;               E ;                saida
            149 ;               6 ;              43 ;               S ;       estacionamento
            149 ;               7 ;              44 ;               S ;       estacionamento
            149 ;               6 ;              42 ;               S ;                saida
            159 ;               5 ;              40 ;               N ;                saida
            159 ;               6 ;              45 ;               O ;       estacionamento
            159 ;               7 ;              47 ;               O ;       estacionamento
            159 ;               8 ;              46 ;               N ;       estacionamento
            159 ;               9 ;              48 ;               E ;       estacionamento
            169 ;               8 ;              47 ;               O ;                saida
            169 ;               7 ;              48 ;               E ;                saida
            170 ;               8 ;              49 ;               O ;       estacionamento
            170 ;               9 ;              50 ;               O ;       estacionamento
            170 ;              10 ;              51 ;               E ;       estacionamento
            170 ;              11 ;              52 ;               E ;       estacionamento
            179 ;              10 ;              36 ;               O ;                saida
            179 ;               9 ;              45 ;               O ;                saida
            180 ;              10 ;              53 ;               E ;       estacionamento
            189 ;               9 ;              38 ;               O ;                saida
            190 ;              10 ;              54 ;               N ;       estacionamento
            199 ;               9 ;              37 ;               S ;                saida
            199 ;               8 ;              43 ;               S ;                saida
            200 ;               9 ;              55 ;               O ;       estacionamento
            200 ;              10 ;              56 ;               S ;       estacionamento
            200 ;              11 ;              58 ;               O ;       estacionamento
            200 ;              12 ;              57 ;               E ;       estacionamento
            210 ;              11 ;              49 ;               O ;                saida
            210 ;              10 ;              55 ;               O ;                saida
            210 ;              11 ;              59 ;               O ;       estacionamento
            210 ;              12 ;              60 ;               O ;       estacionamento
            210 ;              13 ;              61 ;               N ;       estacionamento
            210 ;              14 ;              62 ;               E ;       estacionamento
            220 ;              13 ;              53 ;               E ;                saida
            230 ;              12 ;              51 ;               E ;                saida
            230 ;              11 ;              61 ;               N ;                saida
            230 ;              12 ;              63 ;               S ;       estacionamento
            239 ;              11 ;              44 ;               S ;                saida
            240 ;              10 ;              62 ;               E ;                saida
            240 ;               9 ;              63 ;               S ;                saida
            240 ;              10 ;              65 ;               E ;       estacionamento
            240 ;              11 ;              64 ;               S ;       estacionamento
            250 ;              10 ;              50 ;               O ;                saida
            250 ;               9 ;              56 ;               S ;                saida
            259 ;               8 ;              46 ;               N ;                saida
            260 ;               7 ;              52 ;               E ;                saida
            260 ;               6 ;              57 ;               E ;                saida
            260 ;               7 ;              66 ;               S ;       estacionamento
            270 ;               6 ;              54 ;               N ;                saida
            270 ;               5 ;              65 ;               E ;                saida
            280 ;               6 ;              67 ;               S ;       estacionamento
            280 ;               7 ;              68 ;               N ;       estacionamento
            280 ;               8 ;              69 ;               O ;       estacionamento
            280 ;               9 ;              70 ;               E ;       estacionamento
            290 ;               8 ;              64 ;               S ;                saida
            290 ;               9 ;              71 ;               S ;       estacionamento
            300 ;               8 ;              58 ;               O ;                saida
            300 ;               7 ;              59 ;               O ;                saida
            300 ;               8 ;              72 ;               O ;       estacionamento
            300 ;               9 ;              73 ;               O ;       estacionamento
            300 ;              10 ;              74 ;               O ;       estacionamento
            310 ;               9 ;              60 ;               O ;                saida
            320 ;               8 ;              67 ;               S ;                saida
            320 ;               9 ;              75 ;               S ;       estacionamento
            330 ;               8 ;              68 ;               N ;                saida
            330 ;               7 ;              70 ;               E ;                saida
            330 ;               6 ;              73 ;               O ;                saida
            330 ;               7 ;              76 ;               N ;       estacionamento
            340 ;               6 ;              66 ;               S ;                saida
            340 ;               5 ;              69 ;               O ;                saida
            350 ;               6 ;              78 ;               O ;       estacionamento
            350 ;               7 ;              77 ;               S ;       estacionamento
            350 ;               8 ;              79 ;               N ;       estacionamento
            360 ;               7 ;              72 ;               O ;                saida
            360 ;               6 ;              75 ;               S ;                saida
            360 ;               7 ;              80 ;               N ;       estacionamento
            370 ;               8 ;              81 ;               O ;       estacionamento
            370 ;               9 ;              82 ;               N ;       estacionamento
            380 ;               8 ;              71 ;               S ;                saida
            380 ;               7 ;              74 ;               O ;                saida
            380 ;               8 ;              83 ;               S ;       estacionamento
            380 ;               9 ;              84 ;               N ;       estacionamento
            380 ;              10 ;              85 ;               E ;       estacionamento
            380 ;              11 ;              86 ;               N ;       estacionamento
            380 ;              12 ;              87 ;               E ;       estacionamento
            380 ;              13 ;              89 ;               N ;       estacionamento
            380 ;              14 ;              88 ;               N ;       estacionamento
            380 ;              15 ;              90 ;               E ;       estacionamento
            380 ;              16 ;              91 ;               S ;       estacionamento
            380 ;              17 ;              92 ;               E ;       estacionamento
            390 ;              16 ;              80 ;               N ;                saida
            390 ;              15 ;              79 ;               N ;                saida
            390 ;              14 ;              85 ;               E ;                saida
            390 ;              13 ;              90 ;               E ;                saida
            400 ;              12 ;              76 ;               N ;                saida
